,ALTURA TOTAL,FAMILIA,Nombre común,Nombre científico
1148,16.0,COMBRETACEAE,Terminalia,Terminalia ivorensis
1149,8.5,SAPINDACEAE,Chumbimbo,Sapindus saponaria 
1150,13.0,FABACEAE,Samán,Samanea saman 
1151,2.5,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1152,9.0,MALVACEAE,Guácimo colorado,Luehea seemannii
1153,6.8,BIGNONIACEAE,Cortés amarillo,Handroanthus ochraceus
1154,6.8,FABACEAE,Acacia amarilla,Caesalpinia pluviosa
1155,16.0,MYRTACEAE,Eucalipto,Eucalyptus sp. 
1156,4.6,APOCYNACEAE,Azuceno,Tabernaemontana litoralis
1157,6.4,FABACEAE,Balaustre,Centrolobium yavizanum 
1158,4.2,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1159,7.2,FABACEAE,Algarrobo,Hymenea courbaril
1160,5.0,EUPHORBIACEAE,Árbol del caucho,Hevea brasiliensis
1161,10.0,ARECACEAE,Palma chonta,Acrocomia aculeata
1162,1.2,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1163,16.0,OLEACEAE,Urapán,Fraxinus uhdei 
1164,7.8,LAMIACEAE,Aegiphila,Aegiphila sp.
1165,8.0,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1166,1.6,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1167,17.0,MORACEAE,Falso caucho,Ficus elastica
1168,3.2,EUPHORBIACEAE,Árbol del caucho,Hevea brasiliensis
1169,8.0,ARECACEAE,Palma chonta,Acrocomia aculeata
1170,1.0,APOCYNACEAE,Catape,Thevetia peruviana
1171,5.0,MALPIGHIACEAE,Huesito,Malpighia glabra 
1172,7.8,MALVACEAE,Ceiba rosada,Ceiba speciosa
1173,15.2,MORACEAE,Falso caucho,Ficus elastica
1174,18.0,MORACEAE,Falso laurel,Ficus benjamina 
1175,4.3,MALPIGHIACEAE,Huesito,Malpighia glabra 
1176,5.8,FABACEAE,Gualanday (2),Jacaranda hesperia 
1177,13.0,FABACEAE,Tambor,Schizolobium parahyba 
1178,6.5,FABACEAE,Gualanday (2),Jacaranda hesperia 
1179,5.0,FABACEAE,Carbonero (2),Calliandra pittieri 
1180,6.8,ARECACEAE,Palma payanesa,Archontophoenix cunninghamiana
1181,5.2,ANACARDIACEAE,Mango,Mangifera indica 
