,startA,startB,Distancia,Tiempo (min)
332,Robledo,Pies Descalzos I,3.28,18.9333333333
333,Robledo,Area Metropolitana,3.68,20.2666666667
334,Robledo,Plaza Mayor,3.52,19.7333333333
335,Robledo,Parque de Las Luces I,3.52,19.7333333333
336,Robledo,Pies Descalzos II,3.28,18.9333333333
337,Robledo,Málaga,3.52,19.7333333333
338,Robledo,Palacé,4.4,22.6666666667
339,Robledo,Museo de Antioquia,2.88,17.6
340,Robledo,San Antonio,3.44,19.4666666667
341,Robledo,Parque Berrio,3.12,18.4
342,Robledo,Palacio de la Cultura,3.04,18.1333333333
343,Robledo,SIU-UdeA,2.16,15.2
344,Robledo,Primer Parque de Laureles,3.84,20.8
345,Robledo,Otra Banda,2.08,14.9333333333
347,Robledo,Florida Nueva,1.68,13.6
349,Robledo,María Mulata,1.68,13.6
351,Robledo,Batallón,1.2,12.0
352,Robledo,Calle 51 Los Colores,1.04,11.4666666667
355,Robledo,Orquídeas,1.12,11.7333333333
356,Robledo,Santa Teresita,2.4,16.0
357,Robledo,La 65,2.48,16.2666666667
358,Robledo,San Pedro y San Pablo,1.2,12.0
359,Robledo,Parque de Los Mangos,2.72,17.0666666667
360,Robledo,Pedro Nel Gómez,2.0,14.6666666667
361,Robledo,Estadio,1.84,14.1333333333
362,Robledo,Suramericana,2.24,15.4666666667
363,Robledo,Colombia,2.0,14.6666666667
364,Robledo,San Juan,2.08,14.9333333333
367,Robledo,Floresta,1.36,12.5333333333
368,Robledo,Parque de los Enamorados,1.92,14.4
369,Robledo,Salazar y Herrera,1.36,12.5333333333
370,Robledo,Unicentro,3.2,18.6666666667
371,Robledo,Calle 19A Villa Carlota,6.24,28.8
372,Robledo,Politécnico,6.88,30.9333333333
373,Robledo,Telemedellín,6.32,29.0666666667
374,Robledo,Industriales Metro,5.2,25.3333333333
375,Robledo,MAMM,5.84,27.4666666667
376,Robledo,Río Aburrá,5.2,25.3333333333
377,Robledo,Villa Carlota,5.92,27.7333333333
378,Robledo,Ciudad del Río,6.24,28.8
379,Robledo,Industriales Metroplús,4.72,23.7333333333
380,Robledo,Nutibara,3.6,20.0
381,Robledo,Juan Pablo II,4.32,22.4
382,Robledo,Picacha la 76,2.56,16.5333333333
383,Robledo,Parques del río,2.8,17.3333333333
384,Robledo,La 33,3.44,19.4666666667
385,Robledo,Rosales,3.28,18.9333333333
386,Robledo,Maria Luisa Calle,5.36,25.8666666667
387,Robledo,Unidad Deportiva de Belén,3.52,19.7333333333
389,Robledo,Cafetero,3.44,19.4666666667
390,Robledo,Metro Envigado Sur,4.16,21.8666666667
391,Robledo,Metro Envigado Norte,4.32,22.4
392,Robledo,Auxiliar Metro Envigado,4.24,22.1333333333
393,Robledo,La Ultima Estación,4.24,22.1333333333
394,Robledo,Pista de Patinaje,4.24,22.1333333333
395,Robledo,Villas de Vallejuelos,4.4,22.6666666667
396,Robledo,Iglesia Alcalá,4.4,22.6666666667
397,Robledo,Los Urapanes,4.56,23.2
398,Robledo,Parque Débora Arango,4.48,22.9333333333
399,Robledo,Porton de Alcalá,4.64,23.4666666667
400,Robledo,El MUA,4.64,23.4666666667
401,Robledo,Viva Envigado,4.8,24.0
402,Robledo,Guanteros,4.72,23.7333333333
403,Robledo,Envigado Centro,4.88,24.2666666667
404,Robledo,Puente fundadores,4.32,22.4
405,Robledo,Sabaneta Metro,2.56,16.5333333333
406,Robledo,Las Vegas 69 Sur,2.8,17.3333333333
407,Robledo,Santa Ana,2.8,17.3333333333
408,Robledo,Calle Nueva,3.6,20.0
409,Robledo,La Barquereña,3.12,18.4
410,Robledo,Entre amigos,3.2,18.6666666667
411,Robledo,Sabaneta Centro,3.28,18.9333333333
412,Robledo,Aves María,3.44,19.4666666667
413,Robledo,Biblioteca Sabaneta,3.44,19.4666666667
414,Robledo,Parque 4 Elementos,2.96,17.8666666667
415,Robledo,Puente de la 77 Sur,3.44,19.4666666667
418,Robledo,Bahía Ciclovia,3.76,20.5333333333
419,Robledo,Ideas,3.44,19.4666666667
420,Robledo,Parque Itaguí,3.04,18.1333333333
421,Robledo,Metróplus Cami,2.88,17.6
422,Robledo,Doña María,2.56,16.5333333333
423,Robledo,Los Naranjos,3.04,18.1333333333
424,Robledo,Villa Paula,2.72,17.0666666667
425,Robledo,Parque el Artista,2.0,14.6666666667
426,Robledo,Puente pan de Queso I,3.04,18.1333333333
427,Robledo,Puente pan de Queso II,3.04,18.1333333333
428,Robledo,Metro Bello,3.92,21.0666666667
429,Robledo,Parque Bello,3.2,18.6666666667
432,Campus Nacional,Moravia,2.8,17.3333333333
433,Campus Nacional,Universidad,2.08,14.9333333333
434,Campus Nacional,Ruta N,1.6,13.3333333333
435,Campus Nacional,Robledo,1.36,12.5333333333
436,Campus Nacional,Dian Alpujarra,2.32,15.7333333333
437,Campus Nacional,Distrito Creativo,3.44,19.4666666667
438,Campus Nacional,Plaza de La Libertad,2.24,15.4666666667
439,Campus Nacional,Parque de Las Luces II,2.16,15.2
440,Campus Nacional,Pies Descalzos I,1.92,14.4
441,Campus Nacional,Area Metropolitana,2.32,15.7333333333
442,Campus Nacional,Plaza Mayor,2.16,15.2
443,Campus Nacional,Parque de Las Luces I,2.16,15.2
444,Campus Nacional,Pies Descalzos II,1.92,14.4
445,Campus Nacional,Málaga,2.16,15.2
446,Campus Nacional,Palacé,3.04,18.1333333333
447,Campus Nacional,Museo de Antioquia,1.52,13.0666666667
448,Campus Nacional,San Antonio,2.08,14.9333333333
449,Campus Nacional,Parque Berrio,1.76,13.8666666667
450,Campus Nacional,Palacio de la Cultura,1.68,13.6
451,Campus Nacional,SIU-UdeA,1.12,11.7333333333
452,Campus Nacional,Primer Parque de Laureles,3.12,18.4
453,Campus Nacional,Otra Banda,0.72,10.4
455,Campus Nacional,Florida Nueva,1.6,13.3333333333
457,Campus Nacional,María Mulata,2.08,14.9333333333
459,Campus Nacional,Batallón,1.92,14.4
460,Campus Nacional,Calle 51 Los Colores,1.76,13.8666666667
463,Campus Nacional,Orquídeas,1.36,12.5333333333
464,Campus Nacional,Santa Teresita,2.96,17.8666666667
465,Campus Nacional,La 65,1.28,12.2666666667
466,Campus Nacional,San Pedro y San Pablo,1.92,14.4
467,Campus Nacional,Parque de Los Mangos,1.68,13.6
468,Campus Nacional,Pedro Nel Gómez,2.56,16.5333333333
469,Campus Nacional,Estadio,1.44,12.8
470,Campus Nacional,Suramericana,1.04,11.4666666667
471,Campus Nacional,Colombia,0.8,10.6666666667
472,Campus Nacional,San Juan,1.68,13.6
475,Campus Nacional,Floresta,2.08,14.9333333333
476,Campus Nacional,Parque de los Enamorados,1.04,11.4666666667
477,Campus Nacional,Salazar y Herrera,1.12,11.7333333333
478,Campus Nacional,Unicentro,2.16,15.2
479,Campus Nacional,Calle 19A Villa Carlota,4.88,24.2666666667
480,Campus Nacional,Politécnico,5.52,26.4
481,Campus Nacional,Telemedellín,4.96,24.5333333333
482,Campus Nacional,Industriales Metro,3.84,20.8
483,Campus Nacional,MAMM,4.48,22.9333333333
484,Campus Nacional,Río Aburrá,3.84,20.8
485,Campus Nacional,Villa Carlota,4.56,23.2
486,Campus Nacional,Ciudad del Río,4.88,24.2666666667
487,Campus Nacional,Industriales Metroplús,3.36,19.2
488,Campus Nacional,Nutibara,2.4,16.0
489,Campus Nacional,Juan Pablo II,3.92,21.0666666667
490,Campus Nacional,Picacha la 76,3.12,18.4
491,Campus Nacional,Parques del río,1.44,12.8
