,FAMILIA,Nombre común,Nombre científico,X,Y,NUMERO DE TALLOS,CAP_1,CAP_2,CAP_3,CAP_4,CAP_5,SUMATORIA CAP,ALTURA TOTAL,ALTURA DE COPA,DIAMETRO_MAYOR ,DIAMETRO_MENOR,ORIENTACIÒN DE COPA (Punto Cardinal)
1755,FABACEAE,Suribio,Zygia longifolia ,6.2661513,-75.5674848,2,224.5,144.3,,,,368.8,18.5,3.0,25.6,19.3,Este -oeste
1756,FABACEAE,Suribio,Zygia longifolia ,6.2660874,-75.5674936,4,185.6,150.6,173.2,148.5,,657.9,19.0,2.5,27.8,20.4,Este -oeste
1757,ANACARDIACEAE,Ciruelo,Spondias purpurea ,6.265866,-75.5675789,1,140.0,,,,,140.0,9.5,3.1,13.5,11.9,Norte-sur
1758,POACEAE,Guadua,Guadua angustifolia,6.2658627,-75.5677312,5,16.5,15.2,15.3,16.8,11.7,75.5,10.5,32.6,16.3,10.6,Este -oeste
1759,OLEACEAE,Urapán,Fraxinus uhdei ,6.2658507,-75.5676635,1,235.2,,,,,235.2,17.0,8.0,22.0,15.0,Norte -sur
1760,OLEACEAE,Urapán,Fraxinus uhdei ,6.265892,-75.5677453,1,258.0,,,,,258.0,20.0,7.5,19.5,15.0,Norte-sur
1761,BIGNONIACEAE,Tulipán africano,Spathodea campanulata ,6.26582,-75.5676887,1,74.4,,,,,74.4,14.0,9.0,13.5,8.6,Norte-sur
1762,OLEACEAE,Urapán,Fraxinus uhdei ,6.265782,-75.5676967,1,191.6,,,,,191.6,18.0,9.5,18.5,14.3,Este -oeste
1763,OLEACEAE,Urapán,Fraxinus uhdei ,6.265744,-75.5677,1,258.5,,,,,258.5,17.0,7.5,18.5,16.3,Este -oeste
1764,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.2657913,-75.5676485,2,87.5,71.0,,,,158.5,13.0,8.0,20.5,14.3,Este -oeste
1765,MALVACEAE,Cacao de monte,Pachira speciosa,6.2657647,-75.5676159,2,107.7,81.0,,,,188.7,10.0,5.5,7.4,6.9,Este -oeste
1766,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea ,6.265728,-75.5676438,1,113.6,,,,,113.6,14.0,8.0,19.5,15.6,Norte-sur
1767,BORAGINACEAE,Nogal cafetero,Cordia alliodora ,6.265718,-75.5676734,1,21.5,,,,,21.5,5.7,3.5,3.8,3.5,Este -oeste
1768,BORAGINACEAE,Nogal cafetero,Cordia alliodora ,6.2657053,-75.5676882,1,110.8,,,,,110.8,16.0,10.0,9.5,7.1,Este -oeste
1769,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.265666,-75.5676972,1,110.5,,,,,110.5,16.0,6.5,18.5,18.0,Norte-sur
1770,ANACARDIACEAE,Mango,Mangifera indica ,6.2656347,-75.5677202,2,89.4,87.5,,,,176.9,6.8,1.3,8.6,8.1,Norte-sur
1771,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.2656347,-75.5676674,1,115.5,,,,,115.5,14.0,6.0,16.2,10.4,Este -oeste
1772,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus,6.2656227,-75.5676892,2,80.5,66.0,,,,146.5,12.0,8.0,9.2,7.8,Este -oeste
1773,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.2655993,-75.5676969,1,108.6,,,,,108.6,16.0,6.0,18.5,14.5,Norte-sur
1774,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus,6.265578,-75.5677665,2,14.3,8.5,,,,22.8,3.5,1.5,4.5,3.8,Este -oeste
1775,MALPIGHIACEAE,Huesito,Malpighia glabra ,6.2655793,-75.5678126,4,28.0,23.8,19.8,15.8,,87.39999999999999,5.0,1.4,6.5,5.9,Este -oeste
1776,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.265554,-75.5677254,2,89.0,67.9,,,,156.9,12.0,5.5,16.8,12.4,Este -oeste
1777,BIXACEAE,Achiote,Bixa orellana ,6.2655387,-75.5677852,1,42.0,,,,,42.0,7.0,3.5,6.1,5.9,Este -oeste
1778,BIGNONIACEAE,Tulipán africano,Spathodea campanulata ,6.2655273,-75.5677007,1,167.5,,,,,167.5,17.0,8.3,17.5,13.2,Este -oeste
1779,MALVACEAE,Ceiba verde,Pseudobombax septenatum ,6.2655147,-75.5677122,1,152.0,,,,,152.0,18.0,8.5,15.2,13.5,Norte -sur
1780,RUTACEAE,Naranjo,Citrus sinensis ,6.2655053,-75.5677383,2,48.0,41.7,,,,89.7,6.0,2.1,6.2,5.9,Este -oeste
1781,SAPOTACEAE,Níspero costeño,Manilkara zapota,6.2654793,-75.5677193,1,100.5,,,,,100.5,14.0,2.2,12.5,10.9,Este -oeste
1782,MALVACEAE,Cacao de monte,Pachira speciosa,6.26544,-75.5677293,1,97.8,,,,,97.8,9.5,4.8,13.8,9.2,Este -oeste
1783,MALVACEAE,Cacao de monte,Pachira speciosa,6.2654667,-75.567844,1,70.3,,,,,70.3,10.0,6.0,5.0,3.0,Norte-sur
1784,FABACEAE,Carbonero zorro,Cojoba arboricola,6.2654973,-75.5679301,3,276.4,110.3,149.5,,,536.2,24.0,12.0,13.0,10.0,Norte-sur
1785,FABACEAE,Carbonero zorro,Cojoba arboricola,6.26544,-75.5679868,4,160.0,130.2,125.8,,,416.0,25.0,13.0,15.0,12.0,Norte-sur
1786,FABACEAE,Carbonero zorro,Cojoba arboricola,6.26552,-75.5679827,1,165.2,,,,,165.2,24.0,13.0,18.0,13.0,Norte-sur
1787,ARAUCARIACEAE,Araucaria,Araucaria heterophylla,6.2655907,-75.5679367,1,177.9,,,,,177.9,16.0,3.8,9.5,8.1,Este -oeste
1788,APOCYNACEAE,Azuceno,Tabernaemontana litoralis,6.265576,-75.5679527,2,32.5,29.0,,,,61.5,6.8,2.4,7.2,6.8,Este -oeste
1789,RUTACEAE,Mandarino,Citrus nobilis ,6.2655947,-75.5679894,5,47.0,37.1,21.2,25.0,32.4,162.70000000000002,5.2,1.5,8.3,6.9,Este -oeste
1790,LAURACEAE,Aguacate,Persea americana ,6.265612,-75.568032,1,59.0,,,,,59.0,8.5,5.8,5.8,5.3,Norte-sur
1791,BIGNONIACEAE,Tulipán africano,Spathodea campanulata ,6.265616,-75.5680773,1,141.0,,,,,141.0,13.5,7.0,14.8,10.6,Norte-sur
